type,variable,objetmetier,valeur,saisie,sessions,uri
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.27/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.55
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.28/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.56
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.28/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.57
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.29/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.58
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.29/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.59
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.30/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.60
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.30/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.61
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.31/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.62
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.31/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.63
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.32/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.64
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.32/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.65
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.33/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.66
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.33/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.67
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.34/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.68
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.34/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.69
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.35/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.70
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.35/@individus.0'],,1.0,0.0,test:/1/@sessions.0/@mesurevariables.71
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.36/@individus.0'],3,1.0,0.0,test:/1/@sessions.0/@mesurevariables.72
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.1'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.36/@individus.0'],1,1.0,0.0,test:/1/@sessions.0/@mesurevariables.73
adonis.modeleMetier.saisieTerrain:MesureVariableEntiere,['test:/1/@variables.0'],['test:/0/@dispositifs.0/@blocs.0/@parcellesunitaire.37/@individus.0'],2,1.0,0.0,test:/1/@sessions.0/@mesurevariables.74
