valeur,plateforme,dispositifs,protocoles,facteurs,uri
13_12,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.74
26_5,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.75
27_10,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.76
26_4,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.77
1_5,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.78
25_4,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.79
38_4,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.80
18_8,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.81
13_11,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.82
27_12,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.83
32_8,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.84
26_7,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.85
30_5,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.86
2_5,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.87
11_4,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.88
14_19,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.89
18_10,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.90
25_5,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.91
27_13,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.92
41_1,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.93
13_15,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.94
14_23,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.95
10_1,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.96
13_16,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.97
16_11,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.98
25_6,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.99
14_25,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.100
26_8,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.101
13_17,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.102
5_4,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.103
11_20,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.104
17_18,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.105
13_19,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.106
5_5,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.107
18_15,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.108
2_7,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.109
32_10,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.110
17_3,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.111
6_11,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.112
26_10,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.113
29_5,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.114
18_14,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.115
32_9,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.116
29_4,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.117
26_9,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.118
36_3,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.119
13_18,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.120
11_5,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.121
29_41,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.122
41_3,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.123
16_12,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.124
14_26,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.125
30_7,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.126
13_20,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.127
16_13,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.128
2_8,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.129
36_4,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.130
5_6,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.131
17_4,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.132
18_16,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.133
13_21,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.134
26_11,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.135
27_15,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.136
16_15,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.137
32_11,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.138
1_7,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.139
18_17,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.140
6_12,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.141
13_24,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.142
2_9,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.143
14_29,0.0,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.144
