combinaisons,nom,nomcourt,nbrepetitions,plateforme,dispositifs,protocoles,uri
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.59'],32_6,60,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.59
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.60'],27_9,61,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.60
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.61'],13_10,62,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.61
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.62'],14_16,63,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.62
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.63'],26_3,64,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.63
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.64'],4_24,65,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.64
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.65'],18_47,66,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.65
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.66'],18_9,67,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.66
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.67'],11_3,68,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.67
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.68'],16_10,69,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.68
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.69'],14_18,70,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.69
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.70'],26_6,71,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.70
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.71'],16_9,72,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.71
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.72'],13_13,73,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.72
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.73'],31_1,74,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.73
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.74'],13_12,75,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.74
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.75'],26_5,76,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.75
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.76'],27_10,77,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.76
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.77'],26_4,78,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.77
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.78'],1_5,79,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.78
['test:/0/@dispositifs.0/@protocoles.0/@facteurs.0/@modalites.79'],25_4,80,1,0.0,0.0,0.0,test:/0/@dispositifs.0/@protocoles.0/@traitements.79
